Complexity,Loss,Equation
1,1.469,"x4"
3,0.998,"x4 - x4"
5,0.9976,"0.02637"
6,0.8438,"x0 / (x0 - exp(x0))"
7,0.7593,"-0.4832 * x5"
9,0.6187,"(x0 + x5) * -0.454"
11,0.53,"((x4 - x5) - x0) * 0.4084"
17,0.5176,"(x5 * -0.5024) - ((x4 - x0) * -0.371)"
21,0.4988,"((x5 - x2) * -0.091) + ((x5 + (x0 - x4)) * -0.381)"
23,0.4934,"(((x5 + x0) - x4) * -0.378) + (((x5 - x2) - x2) * -0.0886)"
24,0.4897,"(((x0 + -0.7036) / exp(x0)) + (x5 + 1.469)) / -1.935"
26,0.4482,"(((x0 + -0.631) / exp(x0)) + ((x5 + 1.272) - x4)) / -1.902"
29,0.3718,"((x4 - x5) * 0.4092) + ((0.3506 / (x0 + 0.804)) - 1.009)"
