gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.47445137494634665,-0.945810375934829,1.0055211424317099,1.115234918190586e-09,1.5035761703122942e-09,-2.280420390331024e-10,2.8468531275359824e-09,-1.56157323876009e-10,2.7749684123788893e-09,1.2460078660640217e-09,1.3728032224388584e-09,1.0658703018219098e-09,1.5529407866809703e-09,1.2512290335179268e-09,1.3675820549849533e-09,1.6963174564249407e-09,9.224936320779393e-10,1.873597631702265e-09,7.45213456800615e-10,2.0942310497633734e-09,5.245800387395066e-10,2.4657577094605053e-09,1.5305337904237483e-10,2.7716819551734575e-09,1.5287086667057742e-10,3.2634855010531846e-09,6.446744125503045e-10,3.0976984635207176e-09,4.788873750178375e-10,3.1975410447049e-09,5.7872995620202e-10,3.4088937165769267e-09,7.900826280740466e-10,2.2099230837825148e-09,4.088880047203653e-10,2.808736812417666e-09,1.8992572391478605e-10,2.9119016711180653e-09,2.9309058261518524e-10,3.0260623609665303e-09,4.072512724636502e-10,2.2986960653191636e-09,3.201150231837165e-10,3.0445281025037366e-09,4.257170140008565e-10,3.3737458669511416e-09,7.549347784482615e-10,2.8973686962640577e-09,2.785576077611776e-10,3.72197293558153e-09,1.1031618470786499e-09
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,-0.593555395035317,-0.8056695947391768,0.20090269068394762,-1.908528864636482e-09,2.249286852941277e-09,-2.280420390331024e-10,5.688000273378973e-10,-1.56157323876009e-10,4.96915312180804e-10,1.007927912884117e-09,6.671699245793221e-10,8.741512312133942e-10,5.333932429085992e-10,-7.114875779880737e-12,3.4787286408467564e-10,1.374533112423685e-09,1.03377512411889e-09,4.92420905199205e-10,1.5166291689441005e-10,5.680562313618122e-10,2.2729824305701728e-10,6.467714717632984e-10,3.0601348345850346e-10,7.403271965226454e-10,3.995692082178505e-10,1.253326817635228e-09,9.125688293304331e-10,1.1865258446666558e-09,8.457678563618608e-10,1.4921387711738025e-09,1.1513807828690075e-09,9.189154979925517e-10,5.781575096877568e-10,8.925329820988472e-10,5.517749937940522e-10,6.689248574019346e-10,3.281668690971397e-10,6.611248253215396e-10,3.203668370167446e-10,1.1536018483831787e-09,8.128438600783837e-10,5.753491978167784e-10,2.3459120951198347e-10,4.975260254555863e-10,1.5676803715079134e-10,8.371853259222675e-10,4.964273376174726e-10,3.5099857689543975e-10,1.0240588590644812e-11,7.765904127719166e-11,2.6309894702760327e-10
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,0.3279519151052824,-0.6929247979752919,0.5544338876405032,7.004624904102413e-10,6.412206413513587e-10,-2.280420390331024e-10,1.5697251707947023e-09,-1.56157323876009e-10,1.497840455637609e-09,1.1856503780706746e-09,1.5603275369092536e-10,7.199111344542602e-10,6.217719973073398e-10,8.352502656171659e-10,5.064328661444341e-10,1.3418767107350498e-09,1.9357897344983474e-13,1.4249363067971037e-09,8.32531750355037e-11,1.598468557591506e-09,2.5678542582990606e-10,1.8597892248209e-09,5.181060930593001e-10,2.0930526453851858e-09,7.513695136235858e-10,2.6046053657821548e-09,1.2629222340205548e-09,2.4719729824170947e-09,1.1302898506554947e-09,2.5181748884493596e-09,1.1764917566877597e-09,2.723775226799213e-09,1.382092095037613e-09,2.1963520429014387e-09,8.546689111398388e-10,2.1412730386169837e-09,7.995899068553837e-10,2.2077555259829868e-09,8.660723942213868e-10,2.2951581899995006e-09,9.534750582379006e-10,1.942451572000226e-09,6.00768440238626e-10,2.2921092233122017e-09,9.504260915506017e-10,2.5381855259191847e-09,1.1965023941575848e-09,2.187303445047042e-09,8.456203132854422e-10,2.430373128114331e-09,1.0886899963527312e-09
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-1.13217149800158,-0.6266290990298848,-0.1258062082705967,-3.4334703825865997e-09,2.8492430955611455e-09,-2.280420390331024e-10,3.5618524799235167e-10,-1.56157323876009e-10,4.280699631494451e-10,1.1034559060139097e-09,1.6876831930393638e-09,6.292155519213597e-10,1.2134428389468137e-09,-7.545888155571479e-10,1.7036152853169383e-10,1.2080531615552656e-09,1.7922804485807197e-09,-2.076394668713065e-10,3.7658782015414753e-10,-2.0549757295106071e-10,3.7872971407439334e-10,-2.0275424629711607e-10,3.81473040728338e-10,-1.9998760353210406e-10,3.8423968349335e-10,4.75157423710319e-10,1.059384710735773e-09,4.4281936332748396e-10,1.027046650352938e-09,8.088776240538769e-10,1.393104911079331e-09,-9.738102569658745e-11,4.868462613288666e-10,3.8645054854315365e-10,9.706778355686076e-10,2.4151574352435593e-10,8.257430305498099e-10,1.6780100921032482e-10,7.520282962357789e-10,8.14593949065745e-10,1.398821236091199e-09,5.379149346206087e-10,1.1221422216460627e-09,-1.6594153922836245e-10,4.1828574779709157e-10,1.4046187012291315e-10,7.246891571483672e-10,-2.553448419520657e-10,3.2888244507338833e-10,-5.198022787135318e-10,6.442500831192223e-11
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,-0.7443489513892788,-0.7060281155448312,0.13096523141872748,-2.33545883100236e-09,2.478208377476073e-09,-2.280420390331024e-10,3.7079158550681537e-10,-1.56157323876009e-10,2.98906870349722e-10,8.981452546197073e-10,7.553957081459944e-10,7.378370789572601e-10,5.950875324835471e-10,-2.6795503669391916e-10,4.1070458316763214e-10,1.1881459313205251e-09,1.0453963848468122e-09,1.7966729755847181e-10,3.691775108475883e-11,2.2246926107305986e-10,7.971971459934688e-11,2.5623210078884756e-10,1.1348255431513458e-10,3.067764468622385e-10,1.6402690038852554e-10,7.879146045484388e-10,6.451650580747258e-10,7.430547065897332e-10,6.003051601160203e-10,1.1407057053003682e-09,9.979561588266553e-10,4.513732940544628e-10,3.086237475807498e-10,8.547795877856183e-10,7.120300413119054e-10,8.455127113016519e-11,5.819827534354779e-11,5.374949862475179e-11,8.900004784896119e-11,5.727620438135967e-10,4.300124973398837e-10,6.978616049081903e-10,5.551120584344774e-10,-8.42574497241882e-11,2.2700699619790118e-10,2.2512132841900998e-10,8.2371781945297e-11,-4.264454107592908e-11,1.8539408754964206e-10,-6.007777733629243e-10,7.435273198366373e-10
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.22245060161003996,2.2305602899363737,1.101548987609457,4.0176489807842896e-10,2.4889222951015614e-09,-2.280420390331024e-10,3.1187292322130925e-09,-1.56157323876009e-10,3.0468445170559993e-09,1.2420687469183116e-09,1.6486184462616786e-09,-3.279551685792019e-09,6.170238878972009e-09,-2.3195850736938557e-09,5.210272266873846e-09,-2.2668005502781836e-09,5.157487743458174e-09,-1.6993856675519927e-09,4.590072860731983e-09,-1.8538496217792028e-09,4.7445368149591925e-09,-2.1121026758961768e-09,5.0027898690761665e-09,-2.3258343036875916e-09,5.216521496867582e-09,-1.3179351779242808e-09,4.208622371104271e-09,-1.266232508985986e-09,4.156919702165976e-09,-1.600383504382894e-09,4.491070697562884e-09,-3.8586203155931145e-10,3.2765492247393016e-09,-1.9900056177913866e-09,4.880692810971377e-09,-7.791703061681706e-10,3.669857499348161e-09,-9.908915405918567e-10,3.8815787337718465e-09,-1.8455187554869221e-09,4.736205948666912e-09,-5.983979778061426e-10,3.4890851709861327e-09,-6.637873215258084e-10,3.5544745147057987e-09,-1.4847696686483896e-09,4.3754568618283795e-09,9.67869113675864e-10,1.9228180795041262e-09,-6.328579056224134e-10,3.5235450988024033e-09
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,1.3968188518253952,0.588130856287038,2.3981914747290465,3.726661595843887e-09,2.835107749647123e-09,-2.280420390331024e-10,6.789811384524113e-09,-1.56157323876009e-10,6.717926669367019e-09,1.2528327616037574e-09,5.308936583887252e-09,-1.0326322532557683e-09,7.594401598746779e-09,6.142454884434099e-10,5.9475238570476e-09,-2.1179370355441788e-10,6.7735630490454274e-09,1.2403848502673513e-09,5.3213844952236584e-09,1.394542600651763e-09,5.167226744839247e-09,1.657348843826988e-09,4.9044205016640215e-09,1.8718730804168735e-09,4.689896265074136e-09,2.461282259092274e-09,4.1004870863987354e-09,2.333377991058241e-09,4.228391354432769e-09,2.1216487503287683e-09,4.4401205951622416e-09,3.581757355020318e-09,2.9800119904706917e-09,3.1227615692922616e-09,3.4390077761987483e-09,2.2016045941024745e-09,4.360164751388535e-09,2.248598155762305e-09,4.313171189728705e-09,1.4789593084786414e-09,5.082810037012368e-09,1.94901336097123e-09,4.612755984519779e-09,2.8832257613251883e-09,3.6785435841658216e-09,2.5921842044015097e-09,3.969585141089501e-09,3.255961684951234e-09,3.305807660539776e-09,3.4503730470473657e-09,3.1113962984436443e-09
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.2146663344741957,1.83584851206703,-1.6326589144004553,-3.6670315413800215e-09,1.183429600070019e-09,-2.280420390331024e-10,4.622419102416938e-09,-1.56157323876009e-10,4.694303817574032e-09,8.98837664044891e-10,5.749298805494931e-09,-2.7395677170592026e-09,2.110893424390838e-09,-3.4053002916588277e-09,1.4451608497912129e-09,-1.9808610169000663e-09,2.869600124549974e-09,-2.9573582866415824e-09,1.893102854808458e-09,-3.243886172969915e-09,1.6065749684801257e-09,-3.4703385598962406e-09,1.3801225815538e-09,-3.808791555412506e-09,1.0416695860375346e-09,-2.9382049877283095e-09,1.912256153721731e-09,-2.818521513796824e-09,2.0319396276532163e-09,-2.8149180654159432e-09,2.0355430760340973e-09,-2.94855058426474e-09,1.9019105571853005e-09,-1.981514281984903e-09,2.8689468594651373e-09,-3.0508840388174724e-09,1.799577102632568e-09,-3.358347200142332e-09,1.4921139413077083e-09,-3.5075721653666864e-09,1.342888976083354e-09,-4.218975369679401e-09,6.314857717706395e-10,-3.3334138225600483e-09,1.5170473188899922e-09,-3.932376555623611e-09,9.180845858264298e-10,-4.429676383855079e-09,4.207847575949616e-10,-4.976238623179829e-09,1.2577748172978882e-10
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.284432140082833,1.4676793699899369,-0.9374259155943226,-3.864553993679432e-09,9.82451500791452e-10,-2.280420390331024e-10,2.654060453854878e-09,-1.56157323876009e-10,2.725945169011971e-09,1.1132622761817735e-09,3.995364769069754e-09,-2.2358953017669664e-09,6.462071911210139e-10,-3.094498833183566e-09,2.123963402955856e-10,-1.3972925771426718e-09,1.4848099157453084e-09,-2.5425503665680684e-09,3.395521263199118e-10,-2.785531068990886e-09,9.657142389709429e-11,-3.103031395193881e-09,2.2092890230590083e-10,-3.4183387653380193e-09,5.36236272450039e-10,-2.417423161345414e-09,4.646793315425663e-10,-2.3165293572007593e-09,5.65573135687221e-10,-2.301919234930399e-09,5.801832579575815e-10,-2.5397651258759565e-09,3.423373670120238e-10,-2.9229422553423143e-09,4.083976245433401e-11,-2.063215344385435e-09,8.188871485025452e-10,-2.343271014292895e-09,5.388314785950853e-10,-2.340773889440245e-09,5.413286034477353e-10,-1.7663574152403698e-09,1.1157450776476104e-09,-2.5355877793691986e-09,3.465147135187816e-10,-2.9887360467177235e-09,1.0663355382974322e-10,-1.982871734999613e-09,8.992307578883672e-10,-3.4718774638427867e-09,5.897749709548064e-10
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-0.8064035501194904,3.218560686107253,-2.695654215503859,-2.511149148210276e-09,5.3488871973810346e-09,-2.280420390331024e-10,7.631994306558209e-09,-1.56157323876009e-10,7.703879021715301e-09,-1.1659743813722946e-09,6.694061964219016e-09,-4.631181925745349e-09,3.2288544198459615e-09,-4.420236301117968e-09,3.439800044473343e-09,-4.683608245536561e-09,3.17642810005475e-09,-4.789819430267533e-09,3.070216915323778e-09,-5.2687219520826875e-09,2.591314393508623e-09,-4.263090644326647e-09,3.596945701264664e-09,-4.5685706998435966e-09,3.291465645747714e-09,-4.589999601497709e-09,3.270036744093602e-09,-4.444934686363466e-09,3.4151016592278446e-09,-4.795539287342488e-09,3.0644970582488227e-09,-4.798110006161628e-09,3.0619263394296824e-09,-5.944847420175798e-09,1.915188925415513e-09,-6.642305285900333e-09,1.2177310596909776e-09,-7.0392688315056525e-09,8.207675140856582e-10,-7.816572100885729e-09,4.3464244705581565e-11,-6.655381661121103e-09,1.2046546844702074e-09,-6.2638287463664726e-09,1.5962075992248382e-09,-7.414504809616367e-09,4.455315359749433e-10,-4.468234791219686e-09,3.391801554371625e-09,-9.944841443238699e-09,2.0848050976473884e-09
