Complexity,Loss,MSE,NMSE,Absolute Error
1,1.1211548191373544,1.0153742542333932,0.5021144897309459,0.5193086793498026
3,0.8314366334753739,0.6878508774113428,0.34015033460065547,0.5780991515754081
5,0.6452304720052481,0.5590188124301468,0.2764413659131867,0.43129652275620944
7,0.2388081949908272,0.19934799547198123,0.09857992420821501,0.318562204430944
8,0.0376227472747041,0.04562239192440691,0.02256080843681039,0.16279969841280867
10,0.0121369197469616,0.011367585011420014,0.005621404249403304,0.09101883932929947
12,0.0008345193056169,0.0007581140344822366,0.00037489629069757625,0.02251758146299489
15,0.0007135922159884,0.0006593158478143711,0.00032603942744912604,0.021690982646293232
17,0.0006481647988937,0.0005840397967164848,0.00028881453640192036,0.019724809507450404
20,0.0006416397506914,0.0006255139249091248,0.00030932397972063634,0.02152420061297778
22,0.0006339827209363,0.0005802698142229147,0.00028695023579732926,0.01994571620006805
24,0.0005151802320896,0.0004398932329801243,0.0002175323682799826,0.01606011883298341
27,0.0005045157180736,0.0004612364011655533,0.00022808681552737668,0.017993363721858648
29,0.000421780472934,0.00039461868279812556,0.0001951435716686328,0.01584077180442614
