Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,8.034760087643695e-17,1.616038915834891,8.963682327951887e-09,1.144444549193831e-16,1.5310149354501255,1.0697871513501324e-08,8.729228190389507e-17,1.6071133333475949,9.343033870424267e-09
Model_2,4.97188527387208e-17,1.0,7.051159673324722e-09,7.4750710962683e-17,1.0,8.645849348831092e-09,5.431619543723556e-17,1.0,7.369952200471558e-09
Model_3,4.972383457273711e-17,1.0001002001000001,7.051512927928099e-09,7.475820099139654e-17,1.0001002001000001,8.646282495465698e-09,5.4321637925450006e-17,1.0001002001000001,7.370321426196419e-09
Model_4,4.078191389659426e-17,0.8202505015734907,6.386071867478024e-09,6.215666038098871e-17,0.8315193204251732,7.88394954201184e-09,4.578709984211719e-17,0.8429732508608033,6.766616572713219e-09
Model_5,3.892343173754932e-17,0.7828706736677361,6.238864619267621e-09,5.702186774096932e-17,0.7628270956437556,7.551282522920812e-09,4.338989482096265e-17,0.7988389921584499,6.5871006384419736e-09
Model_6,3.8730036790597204e-17,0.7789809027599393,6.223346108854722e-09,5.567402082866506e-17,0.7447958703223384,7.461502585181155e-09,4.405745921841832e-17,0.811129330096921,6.637579319180926e-09
Model_7,3.2210529774644355e-17,0.647853439899649,5.675432122283232e-09,4.7900616121507944e-17,0.6408048231865092,6.921027100185921e-09,3.6277277609243965e-17,0.6678906229940892,6.0230621455571885e-09
Model_8,3.220831539981667e-17,0.6478089019687494,5.675237034681166e-09,4.79026800833161e-17,0.640832434453099,6.921176206636853e-09,3.627197690299811e-17,0.6677930332015203,6.022622095316799e-09
Model_9,3.141757128039825e-17,0.6319045905081877,5.6051379358940176e-09,4.442085132566368e-17,0.5942532285457381,6.664896947865262e-09,3.655343627560538e-17,0.672974901525352,6.04594378700343e-09
Model_10,2.918312203167136e-17,0.5869629008744944,5.4021405046214195e-09,4.597157953525883e-17,0.6149985591201764,6.7802344749469265e-09,3.485045679304289e-17,0.6416218314354127,5.903427546183902e-09
Model_11,2.6831016560718218e-17,0.5396547804857603,5.179866461668507e-09,5.61105274146354e-17,0.7506353677712423,7.490696056751695e-09,3.1218869296791386e-17,0.5747617086485003,5.587384835215075e-09
Model_12,2.3197292340858875e-17,0.4665693406636661,4.816356749749636e-09,3.399669918806274e-17,0.45480101460218275,5.830668845686809e-09,2.8456535657864136e-17,0.5239051709861886,5.334466764154046e-09
Model_13,2.2734670454034252e-17,0.4572645827832749,4.768088763229377e-09,3.408161581093252e-17,0.4559370121301819,5.837946198016261e-09,2.7590882000205852e-17,0.5079678681119735,5.252702352142738e-09
Model_14,2.018126933005512e-17,0.40590778383625187,4.492356767895346e-09,3.304886012332407e-17,0.44212101393688014,5.748813801413651e-09,2.653080919394439e-17,0.4884511696810899,5.15080665468472e-09
Model_15,1.9387551187858847e-17,0.3899436555735309,4.403129703728798e-09,2.4130670391342284e-17,0.3228152626319338,4.912297872823093e-09,2.464199544512725e-17,0.45367675785764516,4.964070451265499e-09
Model_16,1.6871066246741563e-17,0.3393293553131901,4.1074403521830435e-09,1.2980681565544425e-16,1.736529512344656,1.1393279407415771e-08,4.238011048997752e-17,0.7802481405191452,6.510000805681787e-09
Model_17,1.6261091904784117e-17,0.32706088352919815,4.0325044209255515e-09,2.341710161107917e-17,0.31326928278674754,4.839121987621223e-09,2.0711635970139446e-17,0.3813160292876649,4.551003842026443e-09
