complexity,loss,score,equation,sympy_format,lambda_format
1,2718.5422,0.0,x0,x0,PySRFunction(X=>x0)
2,1946.004,0.3343177414897017,exp(x0),exp(x0),PySRFunction(X=>exp(x0))
4,760.10876,0.4700358949686715,x0 * exp(x0),x0*exp(x0),PySRFunction(X=>x0*exp(x0))
5,353.31888,0.7660905363639868,(x0 + x0) ^ x0,(x0 + x0)**x0,PySRFunction(X=>(x0 + x0)**x0)
6,2.7914033,4.840826547646779,(x0 + x0) * exp(x0),(x0 + x0)*exp(x0),PySRFunction(X=>(x0 + x0)*exp(x0))
7,2.791397,2.2569318841764382e-06,exp(log(x0 + x0) + x0),2*x0*exp(x0),PySRFunction(X=>2*x0*exp(x0))
9,1.1507678,0.44305640779689476,(exp(x0) * (x0 + x0)) - cos(x0),(x0 + x0)*exp(x0) - cos(x0),PySRFunction(X=>(x0 + x0)*exp(x0) - cos(x0))
10,0.74057555,0.44075699658872153,x0 * ((exp(x0) + exp(x0)) - cos(x0)),x0*(exp(x0) + exp(x0) - cos(x0)),PySRFunction(X=>x0*(exp(x0) + exp(x0) - cos(x0)))
11,0.3411792,0.775019801715634,(log(x0) + x0) * (exp(x0) + (x0 * x0)),(x0 + log(x0))*(x0**2 + exp(x0)),PySRFunction(X=>(x0 + log(x0))*(x0**2 + exp(x0)))
12,0.30249408,0.12034614541483242,x0 * ((exp(x0) + exp(x0)) - sin(x0 + x0)),x0*(exp(x0) + exp(x0) - sin(x0 + x0)),PySRFunction(X=>x0*(exp(x0) + exp(x0) - sin(x0 + x0)))
14,0.1841211,0.24823400686786168,(((x0 + x0) * exp(x0)) - sin(x0 + x0)) - cos(x0),(x0 + x0)*exp(x0) - sin(x0 + x0) - cos(x0),PySRFunction(X=>(x0 + x0)*exp(x0) - sin(x0 + x0) - cos(x0))
15,0.11938419,0.4332469131647897,((exp(x0) * 0.96445006) - cos(x0)) * (x0 + x0),(x0 + x0)*(exp(x0)*0.96445006 - cos(x0)),PySRFunction(X=>(x0 + x0)*(exp(x0)*0.96445006 - cos(x0)))
16,0.07425434,0.47485055297789286,(((x0 + x0) * exp(x0)) - (cos(x0) * x0)) - sin(x0 * x0),-x0*cos(x0) + (x0 + x0)*exp(x0) - sin(x0*x0),PySRFunction(X=>-x0*cos(x0) + (x0 + x0)*exp(x0) - sin(x0*x0))
17,0.027933195,0.9776804606126945,(((x0 + x0) * exp(x0)) - (cos(x0) / sin(x0))) - sin(x0 * x0),(x0 + x0)*exp(x0) - sin(x0*x0) - cos(x0)/sin(x0),PySRFunction(X=>(x0 + x0)*exp(x0) - sin(x0*x0) - cos(x0)/sin(x0))
18,0.018241279,0.4261286637384771,(x0 * exp(x0 + 0.7271947)) - (sin(x0 * x0) + sin(x0)),x0*exp(x0 + 0.7271947) - (sin(x0) + sin(x0*x0)),PySRFunction(X=>x0*exp(x0 + 0.7271947) - (sin(x0) + sin(x0*x0)))
19,0.007943061,0.8313883854623882,(exp(x0 + 0.7267179) * x0) - (sin(sin(x0)) + sin(x0 * x0)),x0*exp(x0 + 0.7267179) - (sin(x0*x0) + sin(sin(x0))),PySRFunction(X=>x0*exp(x0 + 0.7267179) - (sin(x0*x0) + sin(sin(x0))))
20,0.0029702275,0.9836601681318677,(x0 * exp(0.7317336 + x0)) - (sin(x0 * x0) + sin(x0 / x0)),x0*exp(x0 + 0.7317336) - (sin(x0/x0) + sin(x0*x0)),PySRFunction(X=>x0*exp(x0 + 0.7317336) - (sin(x0/x0) + sin(x0*x0)))
21,0.0028761465,0.032187171842271156,(x0 * exp(0.73152 + x0)) - (sin(x0 * x0) - -0.82594913),x0*exp(x0 + 0.73152) - (sin(x0*x0) - 1*(-0.82594913)),PySRFunction(X=>x0*exp(x0 + 0.73152) - (sin(x0*x0) - 1*(-0.82594913)))
23,0.0021916896,0.13588931207302918,(x0 * exp(0.72916365 + x0)) - ((0.84136665 ^ x0) + sin(x0 * x0)),x0*exp(x0 + 0.72916365) - (0.84136665**x0 + sin(x0*x0)),PySRFunction(X=>x0*exp(x0 + 0.72916365) - (0.84136665**x0 + sin(x0*x0)))
24,0.0021916218,3.0935516014307877e-05,(exp(0.72916496 + x0) * x0) - ((log(2.319591) ^ x0) + sin(x0 * x0)),-0.841390877033314**x0 + 2.0733485556305*x0*exp(x0) - sin(x0**2),PySRFunction(X=>-0.841390877033314**x0 + 2.0733485556305*x0*exp(x0) - sin(x0**2))
25,0.0018464325,0.1713864187067947,((x0 - -0.039061304) * exp(x0 + 0.71930933)) - ((x0 / x0) + sin(x0 * x0)),(x0 - 1*(-0.039061304))*exp(x0 + 0.71930933) - (sin(x0*x0) + x0/x0),PySRFunction(X=>(x0 - 1*(-0.039061304))*exp(x0 + 0.71930933) - (sin(x0*x0) + x0/x0))
