gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.47445137494634665,-0.945810375934829,0.5921794086343295,6.329431084025259e-07,3.0721335309235938e-06,2.2061390112768515e-06,1.4989376280492684e-06,2.1855095508625245e-06,1.5195670884635954e-06,3.523996933871407e-06,1.8107970545471293e-07,4.275780610830175e-06,5.707039715040549e-07,3.833443042326482e-06,1.283664030003618e-07,3.616330947908247e-06,8.874569141787305e-08,3.97785627880981e-06,2.727796394836898e-07,4.520086427260921e-06,8.150097879348011e-07,4.462243783030613e-06,7.57167143704493e-07,2.9173600468163203e-06,7.877165925097996e-07,4.094883940511055e-06,3.89807301184935e-07,3.861475088309336e-06,1.5639844898321613e-07,4.115714875264564e-06,4.1063823593844414e-07,3.951883012212559e-06,2.4680637288643877e-07,3.859799035939347e-06,1.5472239661322677e-07,3.7516659903774456e-06,4.658935105132567e-08
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,-0.593555395035317,-0.8056695947391768,0.2087629387385797,9.070139143896856e-07,1.8275504687504943e-06,2.2061390112768515e-06,5.284253718633283e-07,2.1855095508625245e-06,5.490548322776553e-07,3.3111441997650913e-06,5.765798166249114e-07,3.7639606133515674e-06,1.0293962302113876e-06,3.365206185164583e-06,6.306418020244032e-07,2.8282642457250766e-06,9.369986258489677e-08,2.81629707240114e-06,8.173268926096015e-08,1.9158097360269243e-06,8.187546471132555e-07,2.106376854284776e-06,6.28187528855404e-07,2.307864864994823e-06,4.26699518145357e-07,2.268412471079718e-06,4.66151912060462e-07,2.085189383667718e-06,6.49374999472462e-07,1.8037795922245578e-06,9.30784790915622e-07,1.6964719730776806e-06,1.0380924100624992e-06,1.6923653046993875e-06,1.0421990784407923e-06,1.4325667187250554e-06,1.3019976644151245e-06
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,0.3279519151052824,-0.6929247979752919,0.02767748722981688,5.283224203354714e-06,3.007027323712764e-06,2.2061390112768515e-06,7.005786836509833e-08,2.1855095508625245e-06,9.068732877942534e-08,3.4700349930545544e-06,1.1938381134126046e-06,4.13365248890672e-06,1.8574556092647704e-06,3.697634725025973e-06,1.4214378453840232e-06,3.3914935755147298e-06,1.11529669587278e-06,3.6433053127807726e-06,1.3671084331388228e-06,3.657460154150224e-06,1.3812632745082742e-06,3.686755402384241e-06,1.4105585227422912e-06,4.635787679342028e-06,2.3595907997000782e-06,4.129428323144658e-06,1.8532314435027083e-06,4.359152298189832e-06,2.082955418547882e-06,4.567099359151764e-06,2.2909024795098145e-06,4.757918619525535e-06,2.4817217398835855e-06,4.550509396516985e-06,2.2743125168750355e-06,4.6004268520341715e-06,2.3242299723922216e-06
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-1.13217149800158,-0.6266290990298848,0.23806817505669636,9.810234063950109e-07,1.8277190396356093e-06,2.2061390112768515e-06,6.026034347537686e-07,2.1855095508625245e-06,6.232328951680956e-07,3.396549939516732e-06,5.878074934861119e-07,3.954404719753763e-06,1.145662273723143e-06,3.532882909173067e-06,7.241404631424467e-07,3.1144146434132463e-06,3.056721973826261e-07,3.2343381415917015e-06,4.2559569556108135e-07,2.7279925156345327e-06,8.074993039608742e-08,2.846189118691538e-06,3.744667266091795e-08,2.6004420108276916e-06,2.0830043520292852e-07,2.8868407427360875e-06,7.809829670546738e-08,2.7118622155753413e-06,9.688023045527888e-08,2.5735686238253375e-06,2.3517382220528267e-07,2.4453685456913433e-06,3.633739003392769e-07,2.464814135260548e-06,3.4392831077007216e-07,1.961484622602341e-06,8.472578234282793e-07
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,-0.7443489513892788,-0.7060281155448312,-0.2300222433599946,-7.106339163799352e-07,2.334535533324305e-06,2.2061390112768515e-06,5.822373943324816e-07,2.1855095508625245e-06,5.616079339181546e-07,3.2129942351967547e-06,1.5890926182523848e-06,3.5651479595507323e-06,1.9412463426063624e-06,3.1975723138044284e-06,1.5736706968600585e-06,2.5390127852707937e-06,9.151111683264238e-07,2.398832401071251e-06,7.749307841268811e-07,1.239084631184871e-06,3.8481698575949886e-07,1.4849845133672197e-06,1.389171035771502e-07,1.459060065285388e-06,1.6484155165898184e-07,1.5089719715918236e-06,1.1492964535254636e-07,1.048449796761947e-06,5.754518201824229e-07,5.804759789437958e-07,1.0434256380005742e-06,9.161230975986262e-07,7.077785193457437e-07,5.173144759378724e-07,1.1065871410064976e-06,7.491082392430911e-07,8.747933777012788e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.22245060161003996,2.2305602899363737,0.9547707612318301,4.379113256690948e-07,4.184964571937695e-06,2.2061390112768515e-06,2.4167368863299387e-06,2.1855095508625245e-06,2.4373663467442657e-06,3.5204752082118703e-06,1.1024006893949199e-06,4.266208541522953e-06,3.5666735608383685e-07,3.824145756918228e-06,7.987301406885625e-07,3.601049131205567e-06,1.0218267664012234e-06,3.955046021543298e-06,6.67829876063492e-07,4.458294198224707e-06,1.6458169938208288e-07,4.406823745974701e-06,2.1605215163208913e-07,2.820446788500765e-06,1.8024291091060251e-06,4.026666115147565e-06,5.962097824592253e-07,3.762315706264877e-06,8.605601913419133e-07,3.989114516990693e-06,6.337613806160969e-07,3.832543955450815e-06,7.903319421559751e-07,4.458841272153311e-06,1.640346254534796e-07,3.5256874634368428e-06,1.0971884341699475e-06
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,1.3968188518253952,0.588130856287038,1.0421766267953902,3.535784674448543e-07,4.490541091956225e-06,2.2061390112768515e-06,2.637980548124228e-06,2.1855095508625245e-06,2.658610008538555e-06,3.5300986558190967e-06,1.314020903581983e-06,4.29246751197993e-06,5.516520474211494e-07,3.849704311801177e-06,9.944152475999027e-07,3.643019194577306e-06,1.2011003648237737e-06,4.017716382216626e-06,8.264031771844535e-07,4.629121373564173e-06,2.1499818583690681e-07,4.5599887546797635e-06,2.841308047213162e-07,2.822004606018642e-06,2.0221149533824375e-06,4.130960170402136e-06,7.131593889989439e-07,3.852291039637112e-06,9.91828519763968e-07,4.119060001937545e-06,7.250595574635343e-07,3.952326188119275e-06,8.917933712818048e-07,4.0922898041383176e-06,7.518297552627621e-07,3.7516919822677864e-06,1.0924275771332932e-06
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.2146663344741957,1.83584851206703,-0.5082501392081672,6.747585546927912e-06,5.827940539009481e-06,2.2061390112768515e-06,1.2864940033584206e-06,2.1855095508625245e-06,1.2658645429440935e-06,3.2136132761420452e-06,2.2939682682236142e-06,3.566342128005921e-06,2.64669712008749e-06,3.1985579487188986e-06,2.2789129408004676e-06,2.5407203503702025e-06,1.6210753424517715e-06,2.4012802548213657e-06,1.4816352469029347e-06,1.2426710926175515e-06,3.2302608469912054e-07,1.4882923468959908e-06,5.686473389775598e-07,4.151525118680128e-06,3.2318801107616973e-06,2.5180711719414515e-06,1.5984261640230205e-06,2.8096575540888274e-06,1.8900125461703964e-06,2.6203912161789715e-06,1.7007462082605405e-06,1.922227838817242e-06,1.002582830898811e-06,2.678070073694158e-06,1.758425065775727e-06,2.176442149911553e-06,1.256797141993122e-06
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.284432140082833,1.4676793699899369,-0.11114166602498199,7.322529454442807e-07,1.1925618204773893e-06,2.2061390112768515e-06,2.813242453551816e-07,2.1855095508625245e-06,2.606947849408546e-07,3.4053172156943744e-06,1.4805024497727045e-06,3.974994346040484e-06,2.0501795801188136e-06,3.5514544144177014e-06,1.6266396484960314e-06,3.1458659742502434e-06,1.2210512083285735e-06,3.2805632059734524e-06,1.3557484400517825e-06,2.8262765761227233e-06,9.014618102010534e-07,2.935352386395651e-06,1.010537620473981e-06,2.5303667363629197e-06,6.055519704412498e-07,2.924762513504153e-06,9.99947747582483e-07,2.7120459901566352e-06,7.872312242349653e-07,2.5793980837209163e-06,6.545833177992463e-07,2.4787008820812462e-06,5.538861161595763e-07,2.652596942702227e-06,7.277821767805571e-07,1.9471548858676932e-06,2.2340119946023287e-08
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-0.8064035501194904,3.218560686107253,-0.870522700723567,7.189016478653305e-06,7.1863637979715385e-06,2.2061390112768515e-06,2.203486330595086e-06,2.1855095508625245e-06,2.182856870180759e-06,1.3675910327211796e-06,1.364938352039414e-06,1.4500263288627423e-06,1.4473736481809767e-06,1.7288512562620467e-06,1.726198575580281e-06,2.3724238052045477e-07,2.345896998386891e-07,-4.914598875721552e-07,4.941125682539209e-07,-2.0749929202171337e-07,2.1015197270347904e-07,1.378083528920917e-07,1.3515567221032603e-07,1.0295392779148302e-06,1.0268865972330646e-06,4.196941070992046e-07,4.170414264174389e-07,7.302476443025784e-07,7.275949636208128e-07,8.007903282467368e-07,7.981376475649711e-07,-1.5052762904150825e-07,1.5318030972327392e-07,1.5393411733606012e-06,1.5366884926788355e-06,3.4861492873312e-07,3.4596224805135435e-07
