Dataset,Noise Level,Matched Equation,Complexity,Loss,Accuracy (%)
Imstepf_F1_RandSample,5_Percent_Noise,(cos(1.1909707122788211 * x3) - -19.892513355980174) + (cos(cos(x3)) / x3),18,4.430187306602751e-05,0.0
Imstepf_F1_RandSample,5_Percent_Noise,(x3 - -16.132095503566376) + (cos(x3 * -3.5695030502536675) / -10.443749514483036),19,2.2142412172234097e-05,20.0
Imstepf_F1_RandSample,5_Percent_Noise,(cos(-1.4208862632111552 * x3) - -20.242545542877558) - sin(-1.2761372513478435 * x3),20,3.148137046077128e-06,0.0
Imstepf_F1_RandSample,5_Percent_Noise,(cos(1.2256490534927287 * x3) - -19.99480287947467) + (cos(2.4894026813862706 * x3) / (x3 + (x3 * x3))),26,1.7715485215932731e-06,0.0
Imstepf_F1_RandSample,5_Percent_Noise,(((0.6505773721453563 * x3) - -16.376119990716802) + (0.3617744773816613 ^ x3)) - (-1.4425938158591276 * cos(cos(x3))),27,1.3622200086081197e-06,0.0
Imstepf_F1_RandSample,5_Percent_Noise,(cos(x3 * -1.2324167058128217) - -19.977899158389196) + (cos(x3 * -2.4734605110591077) / ((x1 / x3) + (x3 * x3))),28,9.65493598001982e-07,0.0
Imstepf_F1_RandSample,5_Percent_Noise,(cos(1.2260700335044281 * x3) - -19.993939803878842) + (cos(2.490850127094655 * x3) / ((x3 * x3) * 1.2418221390510173)),29,3.224411297634659e-07,0.0
Imstepf_F1_Uniform,5_Percent_Noise,cos(x1),2,434.3418760139709,0.0
Imstepf_F1_Uniform,5_Percent_Noise,x3 * x3,3,14.900144397248969,0.0
Imstepf_F1_Uniform,5_Percent_Noise,(x1 * x0) + x1,5,4.574309123247853,20.0
Imstepf_F1_Uniform,5_Percent_Noise,x3 * (x3 + cos(sin(x0))),7,2.2955216322041467,0.0
Imstepf_F1_Uniform,5_Percent_Noise,(x4 / 0.2117248254183143) - sin(x2),9,0.0897066374931772,0.0
Imstepf_F1_Uniform,5_Percent_Noise,cos(cos(x2)) + (x4 / 0.2102258351248046),10,0.0026736146874701,0.0
Imstepf_F1_Uniform,5_Percent_Noise,(x4 / 0.2106788928653109) + cos(sin(cos(x3))),11,0.001185273319532,0.0
Imstepf_F1_Uniform,5_Percent_Noise,(x4 / 0.2000893997011806) + cos(1.7572365198852529),12,5.961960504950528e-05,0.0
Imstepf_F1_Uniform,5_Percent_Noise,0.10156531966724237 + ((x1 + x1) / 0.40001124092354007),13,1.4694005642544885e-06,0.0
Imstepf_F1_Uniform,5_Percent_Noise,sin(0.050419861693402186) + ((x0 + x3) / 0.3999975894451279),14,1.4676790751479334e-06,0.0
Imstepf_F2_LHS,5_Percent_Noise,x0,1,857553.8720302508,0.0
Imstepf_F2_LHS,5_Percent_Noise,x3 ^ x4,3,391307.7277229997,0.0
Imstepf_F2_LHS,5_Percent_Noise,x0 + (x3 ^ x4),5,386694.98414590425,0.0
Imstepf_F2_LHS,5_Percent_Noise,x1 + 926.0394961866476,6,0.3231401920898131,0.0
Imstepf_F2_LHS,5_Percent_Noise,930.683052390201 + sin(x0),7,0.1310924030008292,0.0
Imstepf_F2_LHS,5_Percent_Noise,930.0531342273538 - (x0 - x0),8,2.458510751033848e-05,0.0
Imstepf_F2_LHS,5_Percent_Noise,930.0528482690924 - (sin(930.0528482690924) ^ x2),12,2.106977955476405e-05,0.0
Imstepf_F2_LHS,5_Percent_Noise,(x4 - x4) + (930.0296838574359 + (0.006035315666368473 * x2)),15,1.1900783658861784e-05,0.0
Imstepf_F2_LHS,5_Percent_Noise,930.0910353585584 - (sin(-66.4398535753118) / (x1 + (x2 + x2))),16,5.127590927404979e-06,0.0
Imstepf_F2_RandSample,5_Percent_Noise,x4,1,1352096.0126478805,0.0
Imstepf_F2_RandSample,5_Percent_Noise,x1 ^ x0,3,520623.13732896623,0.0
Imstepf_F2_RandSample,5_Percent_Noise,x3 + (x1 ^ x0),5,515610.3748469365,0.0
Imstepf_F2_RandSample,5_Percent_Noise,x0 ^ (x4 - cos(x4)),6,309799.8473363212,0.0
Imstepf_F2_RandSample,5_Percent_Noise,(x3 ^ x0) + (x4 ^ x2),7,307124.4053058418,0.0
Imstepf_F2_RandSample,5_Percent_Noise,(1158.5588837195098 + x2) - sin(x0),9,13.492076441817842,0.0
Imstepf_F2_RandSample,5_Percent_Noise,(581.4858682405564 - -581.279927382455) + x0,11,0.3549734759386393,0.0
Imstepf_F2_RandSample,5_Percent_Noise,x0 + ((578.7918662998538 - -583.6105303834051) - cos(x0)),14,0.0449425249232144,0.0
Imstepf_F2_RandSample,5_Percent_Noise,((583.4764377831694 - -583.517582839842) - cos(x0)) + cos(x0),15,6.5761380504169675e-09,0.0
Imstepf_F2_Uniform,5_Percent_Noise,x4,1,1365915.6556075634,0.0
Imstepf_F2_Uniform,5_Percent_Noise,x0 ^ x0,3,893981.5804355722,0.0
Imstepf_F2_Uniform,5_Percent_Noise,(x0 ^ x0) + x4,5,889535.8089538955,0.0
Imstepf_F2_Uniform,5_Percent_Noise,x1 - -1168.037385130068,6,0.8145609089422657,0.0
Imstepf_F2_Uniform,5_Percent_Noise,cos(x0) + 1172.7129767190816,7,0.5778903689044353,0.0
Imstepf_F2_Uniform,5_Percent_Noise,(x4 - x1) + 1172.7129767190816,8,0.0005555274237499,0.0
Imstepf_F2_Uniform,5_Percent_Noise,1173.795552731984 - cos(sin(5303.030478412251)),11,6.182837336724988e-05,0.0
Imstepf_F2_Uniform,5_Percent_Noise,(x4 - x1) + ((x1 - x3) + 1172.7755960586421),12,6.18283732315832e-05,0.0
Imstepf_F2_Uniform,5_Percent_Noise,(x3 - x3) + ((x2 * (x4 - x3)) + 1172.7143584961425),14,1.074111699745006e-05,0.0
Imstepf_F2_Uniform,5_Percent_Noise,(x4 - x1) + (((-0.2110335397029714 - x3) / x2) + 1173.793485831572),17,7.373757915997938e-06,0.0
Imstepf_F2_Uniform,5_Percent_Noise,(4146.949089782809 / (-4211.974224535262 / x3)) + (1172.7129767190816 + x4),18,3.3600340115869416e-06,0.0
Imstepf_F2_Uniform,5_Percent_Noise,((0.08992099618038397 / x0) + ((x4 - x3) * x4)) + ((x4 - x3) * 58053.99197670918),21,2.159323920615474e-06,0.0
Imstepf_F2_Uniform,5_Percent_Noise,(1172.5030232030078 + ((0.009323031898420386 / x3) / (x3 - x2))) + ((x1 * (x4 * x4)) * ((0.0430409401323849 / x0) / x3)),30,1.4535882057840868e-07,0.0
Imstepf_F3_LHS,5_Percent_Noise,x2,1,2231183.78227693,0.0
Imstepf_F3_LHS,5_Percent_Noise,x2 ^ x2,3,1296547.0294145923,0.0
Imstepf_F3_LHS,5_Percent_Noise,x2 + (x2 ^ x2),5,1289288.6012357243,0.0
Imstepf_F3_LHS,5_Percent_Noise,x0 ^ (x2 - cos(x1)),6,874879.7202582303,0.0
Imstepf_F3_LHS,5_Percent_Noise,970.6843968547661 - sin(x2),7,277066.82627296814,0.0
Imstepf_F3_LHS,5_Percent_Noise,1513.894279649714 - (x3 * x3),8,20.03809046385476,0.0
Imstepf_F3_LHS,5_Percent_Noise,1234.5725500560268 - -263.16164030181227,9,7.71820256165589e-05,0.0
Imstepf_F3_LHS,5_Percent_Noise,1497.7332609108728 - (x0 * -0.0002338566368129053),11,7.716350144770583e-05,0.0
Imstepf_F3_LHS,5_Percent_Noise,((x3 - -1.9776026952202802e6) - x2) / 1320.3962819234184,13,7.689192979573847e-05,0.0
Imstepf_F3_LHS,5_Percent_Noise,(1234.5986332124276 + (-0.20202745816927076 / x4)) - -263.1877117477229,16,1.0865633180344426e-05,0.0
Imstepf_F3_LHS,5_Percent_Noise,((0.013921924607758512 * x4) + 1498.4983752593994) - cos(cos(cos(-60.10742121786132))),19,5.432994917650409e-06,0.0
Imstepf_F3_LHS,5_Percent_Noise,((0.02064461583938214 * cos(x4)) + 309.30230323570066) - (5.337243346080159 * -222.66990385764686),22,2.3067320830036773e-06,0.0
Imstepf_F3_LHS,5_Percent_Noise,(415.63577543835254 - (-136.83698907964376 * 7.908022515071903)) - (sin(65.99409181257923) * cos(x4)),23,2.3067320829688985e-06,0.0
Imstepf_F3_RandSample,5_Percent_Noise,x4,1,3456477.3669417477,0.0
Imstepf_F3_RandSample,5_Percent_Noise,x4 ^ x4,3,1566758.444760729,0.0
Imstepf_F3_RandSample,5_Percent_Noise,x4 * (x2 ^ x3),5,1226729.416729692,0.0
Imstepf_F3_RandSample,5_Percent_Noise,x4 + 1859.16035093429,6,0.1564556024275819,0.0
Imstepf_F3_RandSample,5_Percent_Noise,1862.6273044517748 - sin(x4),7,0.0339050905247302,0.0
Imstepf_F3_RandSample,5_Percent_Noise,1863.470732184435 - (x2 - x2),8,0.0008361355994199,0.0
Imstepf_F3_RandSample,5_Percent_Noise,946.2058466665891 + 917.2648855177097,9,0.0008361355994199,0.0
Imstepf_F3_RandSample,5_Percent_Noise,1863.7051324306767 - (x3 / (x4 * x3)),10,0.0001280251937467,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(cos(x4) / (x1 * x4)) + 1863.4940663598522,11,8.024941198974085e-05,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(0.07896154217364176 * cos(x4)) + 1863.4985234671515,12,7.944351173937075e-05,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(cos(x4) / ((x4 + x1) + x1)) + 1863.5007615431641,13,6.356667233450335e-05,0.0
Imstepf_F3_RandSample,5_Percent_Noise,1863.499175340286 + ((cos(x4) / x1) / (x4 + sin(x3))),14,5.358029371184726e-05,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(cos(x4 / 0.9202679894885034) / (x1 * x1)) + 1863.4728394904757,16,5.3454766798054415e-05,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(cos(x4 / 0.3842414011793359) * 0.04028587127917295) + 1863.462912163835,17,2.7395025326127e-06,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(sin(0.04028587127917295) * cos(x4 / 0.3842414011793359)) + 1863.462912163835,18,2.7394370357851387e-06,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(cos(x4 / 0.3842414011793359) * sin(0.04028587127917295)) + (1863.462912163835 + (x2 / (1863.4636353555836 ^ x0))),27,2.739436957997474e-06,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(1863.4629121663684 + ((x4 ^ x2) / (1863.462912163835 ^ x0))) + (0.04027495890445693 * cos(x4 / 0.38424140956440334)),28,2.739413764881758e-06,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(sin(0.04028585162487185) * cos(x4 / 0.38424140466698364)) + (1863.4629121622656 + ((x2 ^ x2) / (1863.462912163835 ^ x0))),29,2.739410888979944e-06,0.0
Imstepf_F3_RandSample,5_Percent_Noise,(sin(sin(0.040295673068334266)) * cos(x4 / 0.38424155709171687)) + (1863.462911548714 + ((x2 ^ x2) / (446.7984443781782 ^ x0))),30,2.737586206932474e-06,0.0
Imstepf_F3_Uniform,5_Percent_Noise,x4,1,2521127.297950292,0.0
Imstepf_F3_Uniform,5_Percent_Noise,x4 ^ x0,3,1587832.3715750475,0.0
Imstepf_F3_Uniform,5_Percent_Noise,(x4 ^ x0) + x4,5,1580397.921050995,0.0
Imstepf_F3_Uniform,5_Percent_Noise,1587.8057414779366 + x4,6,0.225280037649266,0.0
Imstepf_F3_Uniform,5_Percent_Noise,(x3 - x4) + 1591.899787843145,8,0.0016561196634587,0.0
Imstepf_F3_Uniform,5_Percent_Noise,1872.0516962744707 + -280.1739922965487,9,0.0016525707152799,0.0
Imstepf_F3_Uniform,5_Percent_Noise,1591.9195014612417 + (cos(x3) / (x0 * x0)),11,0.0001397442485938,0.0
Imstepf_F3_Uniform,5_Percent_Noise,(cos(1584.8576613292207) * x0) + 1591.577987400513,12,9.625287312483492e-05,0.0
Imstepf_F3_Uniform,5_Percent_Noise,x2 - ((0.9230795549534202 * x1) - 1591.5489481891807),13,8.885900940800714e-05,0.0
Imstepf_F3_Uniform,5_Percent_Noise,((cos(x0) * 0.3627948642054794) / x0) + 1591.9356044277008,14,6.131398707740591e-05,0.0
Imstepf_F3_Uniform,5_Percent_Noise,(cos(x0 * 63.6670459510066) / (x0 * x0)) + 1591.9161008748276,16,5.248015918325295e-05,0.0
Imstepf_F3_Uniform,5_Percent_Noise,(sin(x0 - 0.4899639417080999) * (sin(x1) / (x4 + x1))) - -1591.8415794892132,19,9.024785845024611e-06,0.0
Imstepf_F3_Uniform,5_Percent_Noise,((sin(x0) * (x3 * x1)) * -0.014551256850706245) - ((-2.2322653960234704 / x4) - 1591.146494943151),23,6.073910997113043e-06,0.0
Imstepf_F4_LHS,5_Percent_Noise,x0,1,14.541472425714597,0.0
Imstepf_F4_LHS,5_Percent_Noise,sin(x0),2,1.081247045673358,33.33333333333333
Imstepf_F4_LHS,5_Percent_Noise,x2 - x2,3,0.6211487747095338,0.0
Imstepf_F4_LHS,5_Percent_Noise,cos(x2 * x1),4,0.2434682413777913,33.33333333333333
Imstepf_F4_LHS,5_Percent_Noise,sin(cos(x2 * x1)),5,0.2221189515851792,0.0
Imstepf_F4_LHS,5_Percent_Noise,sin(sin(cos(x2 * x1))),6,0.2191063253326263,0.0
Imstepf_F4_LHS,5_Percent_Noise,cos(x2 * x1) / (x4 / x3),8,0.2068033954090822,0.0
Imstepf_F4_LHS,5_Percent_Noise,sin(cos(x1 * x2) - (x0 - x3)),9,0.1431858712176874,0.0
Imstepf_F4_LHS,5_Percent_Noise,cos(x1 * x2) + (sin(x0) - cos(x4)),10,0.1146352437149592,66.66666666666666
Imstepf_F4_LHS,5_Percent_Noise,sin(cos(x1 * x2) + (sin(x0) - cos(x4))),11,0.0577889640960775,0.0
Imstepf_F4_LHS,5_Percent_Noise,cos(x1 * x2) + (sin(x0) + (sin(x3) * cos(x4))),13,1.791529686518177e-09,100.0
Imstepf_F4_RandSample,5_Percent_Noise,x3,1,20.83854091827709,0.0
Imstepf_F4_RandSample,5_Percent_Noise,sin(x0),2,0.873333319734879,33.33333333333333
Imstepf_F4_RandSample,5_Percent_Noise,cos(x1 * x2),4,0.394001238957768,33.33333333333333
Imstepf_F4_RandSample,5_Percent_Noise,cos(x1 * x2) + sin(x0),7,0.2183194361866345,66.66666666666666
Imstepf_F4_RandSample,5_Percent_Noise,cos(x1 * x2) + sin(sin(x0)),8,0.1899538073792528,33.33333333333333
Imstepf_F4_RandSample,5_Percent_Noise,cos(x1 * x2) + sin(sin(sin(x0))),9,0.1795215266597306,33.33333333333333
Imstepf_F4_RandSample,5_Percent_Noise,cos(x1 * x2) + sin(sin(x4) + x4),10,0.1534165489108655,33.33333333333333
Imstepf_F4_RandSample,5_Percent_Noise,(cos(x2 * x1) + sin(x0)) - sin(cos(x4)),11,0.1285367479349265,66.66666666666666
Imstepf_F4_RandSample,5_Percent_Noise,sin((x3 - x0) + sin(x4)) + cos(x2 * x1),12,0.077126798473205,33.33333333333333
Imstepf_F4_RandSample,5_Percent_Noise,(cos(x1 * x2) + sin(x0)) - (sin(x4 + x3) * cos(x4)),15,0.0239214422185877,66.66666666666666
Imstepf_F4_RandSample,5_Percent_Noise,(cos(x2 * x1) + sin(x0)) - (sin(x4 + x3) * sin(cos(x4))),16,0.0200468201207104,66.66666666666666
Imstepf_F4_RandSample,5_Percent_Noise,(sin(x0) + cos(x2 * x1)) - (sin(x3 + -3.141601614489684) * cos(x4)),18,1.3376154441233063e-09,66.66666666666666
Imstepf_F4_RandSample,5_Percent_Noise,(cos(x2 * x1) + sin(x0)) - (cos(x4 / -0.9999993314821098) * sin(x3 + -3.141601532645062)),23,1.3354182692386099e-09,66.66666666666666
Imstepf_F4_RandSample,5_Percent_Noise,((sin(x0) - (1.738056247989202e-5 / x0)) + cos(x1 * x2)) - (cos(x4) * sin(-3.1415965329494857 + x3)),25,1.323448192748056e-09,66.66666666666666
Imstepf_F4_Uniform,5_Percent_Noise,x0,1,19.500192330623797,0.0
Imstepf_F4_Uniform,5_Percent_Noise,sin(x0),2,0.6318044599549056,33.33333333333333
Imstepf_F4_Uniform,5_Percent_Noise,sin(sin(x0)),3,0.6017650481987328,0.0
Imstepf_F4_Uniform,5_Percent_Noise,cos(x0 * x0),4,0.3096781546604582,0.0
Imstepf_F4_Uniform,5_Percent_Noise,sin(cos(x0 * x0)),5,0.3074896780323491,0.0
Imstepf_F4_Uniform,5_Percent_Noise,sin(x0) + cos(x3 * x0),7,0.1212196651452483,33.33333333333333
Imstepf_F4_Uniform,5_Percent_Noise,cos(x1 * x1) + sin(sin(x0)),8,0.1052339489095692,0.0
Imstepf_F4_Uniform,5_Percent_Noise,sin(sin(sin(x0))) + cos(x1 * x1),9,0.1009844696497883,0.0
Imstepf_F4_Uniform,5_Percent_Noise,cos(x3 * x0) - (cos(cos(x0)) ^ x4),10,0.0259168439547004,0.0
Imstepf_F4_Uniform,5_Percent_Noise,cos(x0 * x3) - ((x0 / x4) + cos(x1)),11,0.00313574361456,0.0
Imstepf_F4_Uniform,5_Percent_Noise,cos(x0 * x3) - (0.9160453737935854 + cos(x4)),12,0.0018405978997546,0.0
Imstepf_F4_Uniform,5_Percent_Noise,cos(x3 * x0) - (cos(x4) + cos(-0.4126896834270883)),13,0.0018405978997546,0.0
Imstepf_F4_Uniform,5_Percent_Noise,cos(x3 * x0) - (sin(cos(x0)) + (x1 / 4.434825362143603)),15,0.0008806187300137,0.0
Imstepf_F4_Uniform,5_Percent_Noise,cos(x3 * x0) - ((x4 / x0) + (cos(x1) * 1.1113268486986436)),16,0.0005438822539354,0.0
Imstepf_F4_Uniform,5_Percent_Noise,(cos(x0 * x3) + sin(x0)) - (cos(3.222246352120202 + x0) * sin(x3)),18,4.979466458232334e-07,33.33333333333333
Imstepf_F4_Uniform,5_Percent_Noise,(cos(x2 * x1) + sin(x0)) - (cos(x1 - 4.671990072701689) * sin(x2 - 4.671985143188898)),23,1.755156253593869e-07,66.66666666666666
Imstepf_F4_Uniform,5_Percent_Noise,(cos(x2 * x1) + (sin(x0) + -0.20885814788472537)) - (cos(4.477685296507128 - x2) * sin(x2 - 4.8864899231152235)),28,1.755156253575128e-07,66.66666666666666
