Model,MSE_Train,NMSE_Train
Model_1,0.48720874249999996,12.682316217416084
Model_2,0.20139007499999997,5.24229635349604
Model_3,0.008691715721180566,0.2262502242514637
Model_4,0.008691715721180548,0.22625022425146324
Model_5,0.0020670516584809827,0.053806511426855566
Model_6,0.0015020063310062543,0.03909806534389569
Model_7,0.0001077460620943691,0.0028046902928104533
Model_8,6.892146524434153e-05,0.0017940643099120736
Model_9,1.8000764074571463e-05,0.00046856996238900313
Model_10,4.782224012572771e-07,1.2448396725961517e-05
Model_11,4.776582111517085e-07,1.2433710541783371e-05
Model_12,2.180123522726265e-07,5.674983533006203e-06
Model_13,9.845757189481953e-09,2.5629056949220897e-07
Model_14,9.850559913936748e-09,2.56415587097452e-07
