complexity,loss,score,equation,sympy_format,lambda_format
1,2644.869,0.0,x1,x1,PySRFunction(X=>x1)
2,1775.0786,0.3987768330364172,exp(x1),exp(x1),PySRFunction(X=>exp(x1))
3,1757.3365,0.010045393133956238,x1 ^ x1,x1**x1,PySRFunction(X=>x1**x1)
4,31.612053,4.018016117565458,exp(x4 + x3),exp(x3 + x4),PySRFunction(X=>exp(x3 + x4))
5,31.612043,3.1633508842006736e-07,exp(x3) * exp(x4),exp(x3)*exp(x4),PySRFunction(X=>exp(x3)*exp(x4))
6,21.241627,0.3975753613914035,x4 + exp(x4 + x3),x4 + exp(x3 + x4),PySRFunction(X=>x4 + exp(x3 + x4))
7,19.332035,0.09419922974245959,exp(x3 + x4) + exp(x4),exp(x4) + exp(x3 + x4),PySRFunction(X=>exp(x4) + exp(x3 + x4))
8,10.3914585,0.6207793938305253,(sin(x3) + exp(x3)) * exp(x4),(exp(x3) + sin(x3))*exp(x4),PySRFunction(X=>(exp(x3) + sin(x3))*exp(x4))
9,8.435036,0.20859018670029808,x4 + (x3 / 0.04212031),x3/0.04212031 + x4,PySRFunction(X=>x3/0.04212031 + x4)
10,2.5139928,1.2105217377179223,exp(x4) + (x3 / 0.04562052),x3/0.04562052 + exp(x4),PySRFunction(X=>x3/0.04562052 + exp(x4))
12,0.9598298,0.48143577405354393,((x3 * 21.52635) + exp(x4)) + x4,x3*21.52635 + x4 + exp(x4),PySRFunction(X=>x3*21.52635 + x4 + exp(x4))
13,0.38127613,0.9232321137992517,((x4 * exp(x2)) + exp(x3 + x4)) - (x0 * x3),-x0*x3 + x4*exp(x2) + exp(x3 + x4),PySRFunction(X=>-x0*x3 + x4*exp(x2) + exp(x3 + x4))
14,0.3077759,0.21415194253441758,(exp(x4) - (x3 * x0)) + (x3 / 0.04166039),-x0*x3 + x3/0.04166039 + exp(x4),PySRFunction(X=>-x0*x3 + x3/0.04166039 + exp(x4))
15,0.12115692,0.9322853558386017,((exp(x4) * x2) + exp(x4 + x3)) - ((x3 ^ x2) * x0),-x0*x3**x2 + x2*exp(x4) + exp(x3 + x4),PySRFunction(X=>-x0*x3**x2 + x2*exp(x4) + exp(x3 + x4))
16,0.008103355,2.7048083914517798,(exp(x4 + x3) + (exp(x4) * x2)) - ((x0 * x3) + log(x3)),-x0*x3 + x2*exp(x4) + exp(x3 + x4) - log(x3),PySRFunction(X=>-x0*x3 + x2*exp(x4) + exp(x3 + x4) - log(x3))
17,0.0011308844,1.9692781919762428,((exp(x4) * x2) + exp(x4 + x3)) - (cos(sin(x3)) + (x3 * x0)),x2*exp(x4) - (x0*x3 + cos(sin(x3))) + exp(x3 + x4),PySRFunction(X=>x2*exp(x4) - (x0*x3 + cos(sin(x3))) + exp(x3 + x4))
19,0.0006463175,0.27973219567401897,((exp(x4) * x2) + exp(x4 + x3)) - ((x0 + 0.32698074) * x3),x2*exp(x4) - x3*(x0 + 0.32698074) + exp(x3 + x4),PySRFunction(X=>x2*exp(x4) - x3*(x0 + 0.32698074) + exp(x3 + x4))
24,0.00030970358,0.14713504452497372,((exp(x4) * x2) + exp(x3 + x4)) - (((x0 * 1.0385197) * x3) + (sin(x4) / x4)),x2*exp(x4) - (x0*1.0385197*x3 + sin(x4)/x4) + exp(x3 + x4),PySRFunction(X=>x2*exp(x4) - (x0*1.0385197*x3 + sin(x4)/x4) + exp(x3 + x4))
