Complexity,Loss,MSE,NMSE,Absolute Error
1,0.2056885748938236,0.19340924297532738,0.0728537255879802,0.33552386216559765
6,0.0014410657822641,0.0014622419079535843,0.0005507997915016126,0.03325428652501432
8,0.0014410657822641,0.0014622419102821801,0.000550799792378752,0.03325428658845398
10,0.0014410657822641,0.0014622419100728617,0.0005507997922999055,0.033254286582751404
11,0.0008004806225559,0.0007629228773378808,0.0002873790988234034,0.02544085370735528
12,4.551289855399261e-05,4.293489310905041e-05,1.6172789224530733e-05,0.005315466288732366
15,1.7446192340713725e-05,,,
20,1.024552169320727e-05,,,
22,1.022758373843246e-05,,,
24,1.0116639059773893e-05,,,
25,9.227832539698371e-06,,,
27,9.177721287339813e-06,,,
29,9.018987923843928e-06,,,
