Model,MSE_Train,NMSE_Train
Model_1,1177000433077780.8,1.5817597315943082
Model_2,1176707353329646.0,1.581365864497307
Model_3,1151106063373780.5,1.5469605334617307
Model_4,925657749942560.6,1.2439826808462848
Model_5,150027250293.00125,0.00020162020037218421
Model_6,21065020.036708638,2.830908086598051e-08
Model_7,20543659.9836277,2.7608430029796154e-08
Model_8,689407.5841035692,9.2648832111235e-10
Model_9,529394.4723575076,7.1144821613535e-10
Model_10,401696.52243278973,5.398361509894768e-10
Model_11,14375.809051897033,1.9319513594331013e-11
Model_12,3352.0878936324407,4.50483916394803e-12
Model_13,390.67195328634506,5.250203369558121e-13
Model_14,36.212853963790074,4.866611137622511e-14
Model_15,0.09342984259768632,1.2555948035105664e-16
