gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.47445137494634665,-0.945810375934829,0.5921794086343295,6.329431084025259e-07,3.0721335309235938e-06,2.2061390112768515e-06,1.4989376280492684e-06,2.1608807594721685e-06,1.5441958798539515e-06,3.523996933871407e-06,1.8107970545471293e-07,4.275780610830175e-06,5.707039715040549e-07,3.83871247828011e-06,1.336358389539904e-07,3.6094966481390833e-06,9.557999118703666e-08,4.06689231441939e-06,3.618156750932705e-07,3.4459336700607126e-06,2.591429692654073e-07,4.607539074874051e-06,9.024624355479313e-07,3.216150215125832e-06,4.88926424200288e-07,3.0862613864592607e-06,6.188152528668592e-07,2.9553478479016928e-06,7.497287914244272e-07,4.16623126368493e-06,4.6115462435881e-07,4.238772572168279e-06,5.336959328421593e-07,3.6909354332122535e-06,1.4141206113866401e-08,2.702888016026697e-06,1.002188623299423e-06,2.773376176803081e-06,9.317004625230391e-07
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,-0.593555395035317,-0.8056695947391768,0.2087629387385797,9.070139143896856e-07,1.8275504687504943e-06,2.2061390112768515e-06,5.284253718633283e-07,2.1608807594721685e-06,5.736836236680114e-07,3.3111441997650913e-06,5.765798166249114e-07,3.7639606133515674e-06,1.0293962302113876e-06,3.368535590692298e-06,6.339712075521181e-07,2.821429945955913e-06,8.686556281573315e-08,2.576639642368762e-06,1.5792474077141764e-07,2.812763289706588e-06,7.819890656640797e-08,1.836013718448309e-06,8.985506646918708e-07,2.631728982289678e-06,1.0283540085050173e-07,2.2435929946104924e-06,4.909713885296874e-07,2.554866575382052e-06,1.7969780775812788e-07,1.4475082850197494e-06,1.2870560981204304e-06,1.4739848184743706e-06,1.2605795646658092e-06,1.438391558851221e-06,1.2961728242889588e-06,1.12132033458469e-06,1.61324404855549e-06,1.2633115783292298e-06,1.47125280481095e-06
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,0.3279519151052824,-0.6929247979752919,0.02767748722981688,5.283224203354714e-06,3.007027323712764e-06,2.2061390112768515e-06,7.005786836509833e-08,2.1608807594721685e-06,1.1531612016978141e-07,3.4700349930545544e-06,1.1938381134126046e-06,4.13365248890672e-06,1.8574556092647704e-06,3.702306174428596e-06,1.426109294786646e-06,3.3846592757455666e-06,1.1084623961036167e-06,3.6284934174981335e-06,1.3522965378561836e-06,4.490109094887439e-06,2.213912215245489e-06,3.3526045095091897e-06,1.0764076298672398e-06,5.103379891264284e-06,2.827183011622334e-06,5.065195081598253e-06,2.788998201956303e-06,4.738602459506449e-06,2.462405579864499e-06,4.229551554559917e-06,1.953354674917967e-06,4.311467740196172e-06,2.0352708605542225e-06,4.950744558287193e-06,2.6745476786452434e-06,4.3613438610398595e-06,2.0851469813979096e-06,4.3242679510622134e-06,2.0480710714202636e-06
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-1.13217149800158,-0.6266290990298848,0.23806817505669636,9.810234063950109e-07,1.8277190396356093e-06,2.2061390112768515e-06,6.026034347537686e-07,2.1608807594721685e-06,6.478616865584517e-07,3.396549939516732e-06,5.878074934861119e-07,3.954404719753763e-06,1.145662273723143e-06,3.5368676479888856e-06,7.281252019582654e-07,3.107580343644083e-06,2.988378976134629e-07,3.1023320028166467e-06,2.935895567860265e-07,3.1379445502872743e-06,3.292021042566541e-07,2.4345325674174765e-06,3.7420987861314364e-07,2.9754038007446306e-06,1.6666135471401047e-07,2.672193091988784e-06,1.365493540418362e-07,2.8953012761785664e-06,8.655883014794626e-08,2.0849953978189518e-06,7.237470482116684e-07,2.122891018172157e-06,6.85851427858463e-07,1.9804043943258025e-06,8.283380517048176e-07,1.980727218124364e-06,8.28015227906256e-07,2.038911311927103e-06,7.69831134103517e-07
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,-0.7443489513892788,-0.7060281155448312,-0.2300222433599946,-7.106339163799352e-07,2.334535533324305e-06,2.2061390112768515e-06,5.822373943324816e-07,2.1608807594721685e-06,5.369791425277986e-07,3.2129942351967547e-06,1.5890926182523848e-06,3.565147959550732e-06,1.941246342606362e-06,3.200290471683173e-06,1.5763888547388032e-06,2.53217848550163e-06,9.082768685572602e-07,2.065329288210414e-06,4.4142767126604397e-07,1.3115807348375615e-06,3.123208821068084e-07,1.4213018680287047e-06,2.0259974891566518e-07,8.159500520283091e-07,8.079515649160608e-07,-2.387230275734063e-08,1.6477739197017105e-06,7.446765239196841e-07,8.792250930246858e-07,3.6995322770741005e-07,1.2539483892369599e-06,3.6805807348822214e-07,1.2558435434561478e-06,6.617470377874319e-07,9.62154579156938e-07,8.129270192839345e-07,8.109745976604354e-07,9.944638013225426e-07,6.294378156218273e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.22245060161003996,2.2305602899363737,0.9547707612318301,4.379113256690948e-07,4.184964571937695e-06,2.2061390112768515e-06,2.4167368863299387e-06,2.1608807594721685e-06,2.4619951381346217e-06,3.5204752082118703e-06,1.1024006893949199e-06,4.266208541522954e-06,3.56667356083836e-07,3.82937333547153e-06,7.9350256213526e-07,3.5942148314364036e-06,1.0286610661703866e-06,4.036785130340475e-06,5.86090767266315e-07,3.3097530065568022e-06,1.313122891049988e-06,4.498299517104932e-06,1.2457638050185846e-07,2.9789334168367267e-06,1.6439424807700635e-06,2.829826948522069e-06,1.7930489490847211e-06,3.7417171711576763e-06,8.811587264491139e-07,3.980781640304535e-06,6.420942573022552e-07,4.049108945402741e-06,5.737669522040493e-07,3.4469172691608044e-06,1.1759586284459858e-06,5.59962142100791e-06,9.767455234011196e-07,5.639404600179822e-06,1.0165287025730318e-06
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,1.3968188518253952,0.588130856287038,1.0421766267953902,3.535784674448543e-07,4.490541091956225e-06,2.2061390112768515e-06,2.637980548124228e-06,2.1608807594721685e-06,2.683238799928911e-06,3.5300986558190967e-06,1.314020903581983e-06,4.29246751197993e-06,5.516520474211494e-07,3.855047282866083e-06,9.890722765349964e-07,3.6361848948081428e-06,1.207934664592937e-06,4.1195776075460865e-06,7.245419518549932e-07,3.2964908821286443e-06,1.5476286772724354e-06,4.809692447711778e-06,3.4427111689301675e-08,2.9247043866930828e-06,1.919415172707997e-06,2.7958592189114132e-06,2.0482603404896664e-06,3.1329594078872693e-06,1.7111601515138104e-06,4.2638741816241254e-06,5.802453777769542e-07,4.3366821131128664e-06,5.074374462882132e-07,3.6443593075899352e-06,1.1997602518111444e-06,4.644843804323206e-06,1.9927575507787386e-07,4.712051894343455e-06,1.3206766505762438e-07
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.2146663344741957,1.83584851206703,-0.5082501392081672,6.747585546927912e-06,5.827940539009481e-06,2.2061390112768515e-06,1.2864940033584206e-06,2.1608807594721685e-06,1.2412357515537375e-06,3.2136132761420452e-06,2.2939682682236142e-06,3.566342128005921e-06,2.64669712008749e-06,3.2012795722397016e-06,2.2816345643212706e-06,2.5338860506010393e-06,1.6142410426826083e-06,2.0682843659819853e-06,1.1486393580635543e-06,3.744937314337329e-06,2.825292306418898e-06,1.4233679557575868e-06,5.037229478391558e-07,3.942917338737897e-06,3.023272330819466e-06,3.898833274326799e-06,2.979188266408368e-06,3.527539552975732e-06,2.607894545057301e-06,2.5483658241619063e-06,1.6287208162434753e-06,2.5998294942945114e-06,1.6801844863760804e-06,2.394732815173941e-06,1.47508780725551e-06,1.389117415895706e-06,4.6947240797727493e-07,1.4484369182107959e-06,5.287919102923649e-07
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.284432140082833,1.4676793699899369,-0.11114166602498199,7.322529454442807e-07,1.1925618204773893e-06,2.2061390112768515e-06,2.813242453551816e-07,2.1608807594721685e-06,2.360659935504985e-07,3.4053172156943744e-06,1.4805024497727045e-06,3.974994346040483e-06,2.050179580118813e-06,3.555514439805653e-06,1.630699673883983e-06,3.13903167448108e-06,1.2142169085594099e-06,3.1612366884046137e-06,1.2364219224829437e-06,3.0335422808922606e-06,1.1087275149705906e-06,2.517539340972417e-06,5.927245750507472e-07,2.7973333062238223e-06,8.725185403021524e-07,2.473291734495183e-06,5.484769685735131e-07,2.93313074659731e-06,1.0083159806756402e-06,2.0781388083375945e-06,1.5332404241592457e-07,2.1148010162265592e-06,1.8998625030488927e-07,1.9477966506958635e-06,2.2981884774193583e-08,2.766357632482098e-06,8.415428665604281e-07,2.753204737261355e-06,8.283899713396849e-07
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-0.8064035501194904,3.218560686107253,-0.870522700723567,7.189016478653305e-06,7.1863637979715385e-06,2.2061390112768515e-06,2.203486330595086e-06,2.1608807594721685e-06,2.158228078790403e-06,1.3675910327211796e-06,1.364938352039414e-06,1.4500263288627421e-06,1.4473736481809764e-06,1.728089156698422e-06,1.7254364760166563e-06,2.3040808075129115e-07,2.2775540006952548e-07,-7.314564840015266e-07,7.341091646832923e-07,1.4630319142379135e-06,1.4603792335561478e-06,1.0925333392559183e-07,1.0660065324382616e-07,1.4819603047894296e-06,1.479307624107664e-06,1.4599013104877322e-06,1.4572486298059666e-06,1.3746777145501553e-06,1.3720250338683896e-06,1.2802821216159874e-06,1.2776294409342218e-06,1.3091171690849168e-06,1.306464488403151e-06,3.563518455316809e-07,3.536991648499152e-07,-3.1502633259282414e-07,3.176790132745898e-07,2.0522614959184315e-07,2.0257346891007748e-07
