Model,MSE_Train,NMSE_Train
Model_1,3233.473591597059,3538.450135174858
Model_2,0.5163731544539049,0.5650767221128367
Model_3,0.5143789202165789,0.5628943945920634
Model_4,0.4980291150764544,0.5450024995233976
Model_5,0.48682298662832457,0.5327394252786851
Model_6,0.007713038440658839,0.008440521049524988
Model_7,0.00771303844065894,0.008440521049525099
Model_8,0.006997857681343991,0.007657885477350062
Model_9,0.006974512679171876,0.007632338608401991
Model_10,0.0069158799290988,0.007568175702305926
Model_11,0.0069002991244224545,0.007551125338710434
Model_12,0.006893868113724058,0.0075440877644020535
Model_13,0.006581508830934136,0.007202267206694881
Model_14,0.006574692550424184,0.0071948080244846075
Model_15,0.006559154089224306,0.007177803998140925
Model_16,0.006508464944446823,0.007122333926680965
