complexity,loss,score,equation,sympy_format,lambda_format
1,0.03384605,0.0,x0,x0,PySRFunction(X=>x0)
7,0.032298487,0.007800319039670507,x0 * sin(x0 / sin(x0)),x0*sin(x0/sin(x0)),PySRFunction(X=>x0*sin(x0/sin(x0)))
8,0.020571433,0.4511170212277801,x0 - (cos(x0) - sin(cos(x0))),x0 - (-sin(cos(x0)) + cos(x0)),PySRFunction(X=>x0 - (-sin(cos(x0)) + cos(x0)))
9,0.010825915,0.6419605689231652,(x0 - cos(x0)) + sin(cos(sin(x0))),x0 + sin(cos(sin(x0))) - cos(x0),PySRFunction(X=>x0 + sin(cos(sin(x0))) - cos(x0))
10,0.0025363064,1.451233947409194,cos(cos(x0)) + (x0 - sin(x0 / x0)),x0 - sin(x0/x0) + cos(cos(x0)),PySRFunction(X=>x0 - sin(x0/x0) + cos(cos(x0)))
11,0.0012792317,0.6844491861223262,cos(cos(x0)) + (x0 - 0.8060143),x0 + cos(cos(x0)) - 1*0.8060143,PySRFunction(X=>x0 + cos(cos(x0)) - 1*0.8060143)
14,0.0005962354,0.25445979559876813,(x0 - sin(x0 / x0)) + cos(cos(x0) / (x0 + x0)),x0 - sin(x0/x0) + cos(cos(x0)/(x0 + x0)),PySRFunction(X=>x0 - sin(x0/x0) + cos(cos(x0)/(x0 + x0)))
15,0.00030580512,0.6676875192055284,cos(cos(x0) / (x0 + x0)) + (x0 - 0.82441735),x0 + cos(cos(x0)/(x0 + x0)) - 1*0.82441735,PySRFunction(X=>x0 + cos(cos(x0)/(x0 + x0)) - 1*0.82441735)
16,0.00023216107,0.2755166383083837,(cos(0.4881994 / x0) - 0.7529032) + x0,x0 + cos(0.4881994/x0) - 1*0.7529032,PySRFunction(X=>x0 + cos(0.4881994/x0) - 1*0.7529032)
17,0.00023215941,7.150233821338265e-06,x0 + (cos(-0.48824066 / x0) - cos(-0.718376)),x0 + cos(-0.48824066/x0) - cos(-0.718376),PySRFunction(X=>x0 + cos(-0.48824066/x0) - cos(-0.718376))
20,0.00015881969,0.12655157140397447,(x0 - cos(x0 * -0.6063136)) + cos(cos(1.5892249 * x0)),x0 - cos(x0*(-0.6063136)) + cos(cos(1.5892249*x0)),PySRFunction(X=>x0 - cos(x0*(-0.6063136)) + cos(cos(1.5892249*x0)))
23,9.737372e-05,0.16307105817439457,(cos(-0.48780644 / x0) - cos(0.7177584)) + (x0 * 0.98838663),x0*0.98838663 + cos(-0.48780644/x0) - cos(0.7177584),PySRFunction(X=>x0*0.98838663 + cos(-0.48780644/x0) - cos(0.7177584))
24,9.737263e-05,1.1194048052848838e-05,(x0 * 0.9883882) - (cos(sin(0.8006353)) - cos(-0.48782492 / x0)),x0*0.9883882 - (-cos(-0.48782492/x0) + cos(sin(0.8006353))),PySRFunction(X=>x0*0.9883882 - (-cos(-0.48782492/x0) + cos(sin(0.8006353))))
25,4.660473e-06,3.0394282198662133,(x0 * 0.9764423) - (cos(x0 * 0.50643927) - cos(-0.33987328 / x0)),x0*0.9764423 - (-cos(-0.33987328/x0) + cos(x0*0.50643927)),PySRFunction(X=>x0*0.9764423 - (-cos(-0.33987328/x0) + cos(x0*0.50643927)))
