Model,MSE_Train,NMSE_Train
Model_1,3.1851420098120404,8.512658215509985
Model_2,0.2867832971577675,0.7664613329956911
Model_3,0.28182409803688513,0.7532073031883292
Model_4,0.27604340138816263,0.737757726790628
Model_5,0.172368872395872,0.4606756286466174
Model_6,0.10533639558544353,0.28152362767823674
Model_7,0.0800479895671691,0.21393745519818477
Model_8,0.033760884481755495,0.09022984525059183
Model_9,0.030437642409122608,0.0813480987398935
Model_10,0.010706566110477026,0.028614528859148548
Model_11,0.0035438121870277027,0.00947124550026138
Model_12,0.0005412705379054146,0.0014466077421728333
Model_13,0.0004590605712037434,0.0012268921545211915
Model_14,0.00012921571152908355,0.00034534384493140134
Model_15,2.436988654047235e-05,6.51313235738711e-05
Model_16,1.576918982998217e-05,4.214497279700749e-05
Model_17,1.5105516453385168e-05,4.037122939583427e-05
